"","date","state","county","city","college","cases","mergeCS","countyCovidProp","plan","enrollment2018","type","adjCases"
"4","oct8","Alabama","Lee","Auburn","Auburn University",1982,"LeeAlabama",0.0377897436520767,"Hybrid","30440","Public, 4-year",0.0651116951379763
"5","oct8","Alabama","Montgomery","Montgomery","Auburn University, Montgomery",0,"MontgomeryAlabama",0.0401040240897892,"Hybrid","5211","Public, 4-year",0
"6","oct8","Alabama","Walker","Jasper","Bevill State Community College",4,"WalkerAlabama",0.0389162639127218,"Primarily online","3745","Public, 2-year",0.00106809078771696
"7","oct8","Alabama","Jefferson","Birmingham","Birmingham-Southern College",125,"JeffersonAlabama",0.0317929827065489,"Primarily in person","1268","Private nonprofit, 4-year",0.0985804416403785
"8","oct8","Alabama","Limestone","Tanner","Calhoun Community College",28,"LimestoneAlabama",0.0239397462467775,"Primarily online","9736","Public, 2-year",0.0028759244042728
"9","oct8","Alabama","Tallapoosa","Alexander City","Central Alabama Community College",24,"TallapoosaAlabama",0.0299502068521317,"Primarily online","1681","Public, 2-year",0.0142772159428911
"10","oct8","Alabama","Coffee","Enterprise","Enterprise State Community College",27,"CoffeeAlabama",0.0283902028963356,"Primarily online","1705","Public, 2-year",0.0158357771260997
"11","oct8","Alabama","Etowah","Gadsden","Gadsden State Community College",32,"EtowahAlabama",0.0364336840458403,"Hybrid","4736","Public, 2-year",0.00675675675675676
"13","oct8","Alabama","Calhoun","Jacksonville","Jacksonville State University",219,"CalhounAlabama",0.0329474935082083,"Primarily online","8479","Public, 4-year",0.0258285175138578
"14","oct8","Alabama","Covington","Andalusia","Lurleen B. Wallace Community College",9,"CovingtonAlabama",0.0403519663148803,"Primarily online","1784","Public, 2-year",0.00504484304932735
"15","oct8","Alabama","Perry","Marion","Marion Military Institute",3,"PerryAlabama",0.0611901826739886,"Hybrid","394","Public, 2-year",0.00761421319796954
"17","oct8","Alabama","Jefferson","Birmingham","Samford University",327,"JeffersonAlabama",0.0317929827065489,"Hybrid","5619","Private nonprofit, 4-year",0.0581954084356647
"18","oct8","Alabama","Marshall","Boaz","Snead State Community College",11,"MarshallAlabama",0.041994750656168,"Hybrid","2280","Public, 2-year",0.00482456140350877
"19","oct8","Alabama","Randolph","Wadley","Southern Union State Community College",59,"RandolphAlabama",0.0315113106240648,"Hybrid","4531","Public, 2-year",0.013021408077687
"20","oct8","Alabama","Mobile","Mobile","Spring Hill College",104,"MobileAlabama",0.0334236828731154,"Hybrid","1379","Private nonprofit, 4-year",0.075416968817984
"21","oct8","Alabama","Pike","Troy","Troy University",160,"PikeAlabama",0.0376275895391677,"Hybrid","16981","Public, 4-year",0.00942229550674283
"25","oct8","Alabama","Macon","Tuskeegee","Tuskegee University",62,"MaconAlabama",0.0277285809165375,"Hybrid","3026","Private nonprofit, 4-year",0.0204890945142102
"27","oct8","Alabama","Jefferson","Birmingham","University of Alabama, Birmingham",1353,"JeffersonAlabama",0.0317929827065489,"Primarily online","21923","Public, 4-year",0.0617160060210738
"29","oct8","Alabama","Shelby","Montevallo","University of Montevallo",87,"ShelbyAlabama",0.0297884263810163,"Primarily in person","2612","Public, 4-year",0.0333078101071975
"30","oct8","Alabama","Lauderdale","Florence","University of North Alabama",259,"LauderdaleAlabama",0.0200800181173096,"Hybrid","7488","Public, 4-year",0.0345886752136752
"31","oct8","Alabama","Mobile","Mobile","University of South Alabama",276,"MobileAlabama",0.0334236828731154,"Primarily online","14834","Public, 4-year",0.0186059053525684
"38","oct8","Arizona","Maricopa","Tempe","Arizona State University",1821,"MaricopaArizona",0.0321803071020869,"Hybrid","51585","Public, 4-year",0.0353009595812736
"39","oct8","Arizona","Yuma","Yuma","Arizona Western College",5,"YumaArizona",0.0602609139002839,"Primarily online","7434","Public, 2-year",0.00067258541834813
"44","oct8","Arizona","Coconino","Flagstaff","Northern Arizona University",188,"CoconinoArizona",0.0302698709191781,"Primarily online","31066","Public, 4-year",0.00605163200927059
"45","oct8","Arizona","Pima","Tucson","University of Arizona",2381,"PimaArizona",0.0249140868861115,"Primarily online","44097","Public, 4-year",0.0539946028074472
"47","oct8","Arkansas","Pope","Russellville","Arkansas Tech University",199,"PopeArkansas",0.0356786115619928,"Primarily in person","12101","Public, 4-year",0.0164449219072804
"48","oct8","Arkansas","White","Searcy","Harding University",127,"WhiteArkansas",0.0128630020443666,"Hybrid","5121","Private nonprofit, 4-year",0.0247998437805116
"49","oct8","Arkansas","Clark","Arkadelphia","Henderson State University",88,"ClarkArkansas",0.0179659498207885,"Primarily online","3961","Public, 4-year",0.0222166119666751
"50","oct8","Arkansas","Faulkner","Conway","Hendrix College",9,"FaulknerArkansas",0.0221813073876848,"Fully online","1208","Private nonprofit, 4-year",0.00745033112582781
"51","oct8","Arkansas","Benton","Siloam Springs","John Brown University",30,"BentonArkansas",0.0250375258381965,"Fully in person","2516","Private nonprofit, 4-year",0.0119236883942766
"52","oct8","Arkansas","Independence","Batesville","Lyon College",12,"IndependenceArkansas",0.0328089887640449,"Fully online","655","Private nonprofit, 4-year",0.0183206106870229
"53","oct8","Arkansas","Garland","Hot Springs","National Park College",21,"GarlandArkansas",0.0206769565129898,"Fully online","2017","Public, 2-year",0.0104115022310362
"54","oct8","Arkansas","Benton","Bentonville","NorthWest Arkansas Community College",4,"BentonArkansas",0.0250375258381965,"Primarily online","7979","Public, 2-year",0.000501315954380248
"55","oct8","Arkansas","Clark","Arkadelphia","Ouachita Baptist University",116,"ClarkArkansas",0.0179659498207885,"Primarily online","1660","Private nonprofit, 4-year",0.0698795180722892
"56","oct8","Arkansas","Columbia","Magnolia","Southern Arkansas University",113,"ColumbiaArkansas",0.0248966193460374,"Undetermined","4472","Public, 4-year",0.0252683363148479
"59","oct8","Arkansas","Pulaski","Little Rock","University of Arkansas, Little Rock",114,"PulaskiArkansas",0.025551719650635,"Hybrid","10515","Public, 4-year",0.0108416547788873
"60","oct8","Arkansas","Drew","Monticello","University of Arkansas, Monticello",27,"DrewArkansas",0.0201986936714419,"Hybrid","3111","Public, 4-year",0.00867888138862102
"61","oct8","Arkansas","Jefferson","Pine Bluff","University of Arkansas, Pine Bluff",139,"JeffersonArkansas",0.0540374715671016,"Primarily online","2579","Public, 4-year",0.0538968592477705
"64","oct8","Arkansas","Conway","Conway","University of Central Arkansas",238,"ConwayArkansas",0.0143912501199271,"Primarily online","11177","Public, 4-year",0.0212937281918225
"65","oct8","Arkansas","Johnson","Clarksville","University of the Ozarks",37,"JohnsonArkansas",0.0335239671909098,"Hybrid","872","Private nonprofit, 4-year",0.0424311926605505
"67","oct8","California","Los Angeles","Lancaster","Antelope Valley College",9,"Los AngelesCalifornia",0.0276364222435322,"Primarily online","14239","Public, 4-year",0.000632066858627713
"70","oct8","California","Los Angeles","La Mirada","Biola University",2,"Los AngelesCalifornia",0.0276364222435322,"Primarily online","6109","Private nonprofit, 4-year",0.000327385824193812
"72","oct8","California","Los Angeles","Pasadena","California Institute of Technology",25,"Los AngelesCalifornia",0.0276364222435322,"Fully online","2233","Private nonprofit, 4-year",0.0111957008508733
"73","oct8","California","Ventura","Thousand Oaks","California Lutheran University",6,"VenturaCalifornia",0.0156523712597783,"Primarily online","4383","Private nonprofit, 4-year",0.00136892539356605
"74","oct8","California","San Luis Obispo","San Luis Obispo","California Polytechnic State University, San Luis Obispo",127,"San Luis ObispoCalifornia",0.0133481214082109,"Primarily online","22013","Public, 4-year",0.00576931813019579
"75","oct8","California","Los Angeles","Pomona","California State Polytechnic University, Pomona",12,"Los AngelesCalifornia",0.0276364222435322,"Fully online","26598","Public, 4-year",0.000451161741484322
"76","oct8","California","Solano","Vallejo","California State University Maritime Academy",3,"SolanoCalifornia",0.0148846290459138,"Primarily online","1046","Public, 4-year",0.00286806883365201
"77","oct8","California","Kern","Bakersfield","California State University, Bakersfield",3,"KernCalifornia",0.0362962979420175,"Primarily online","10816","Public, 4-year",0.000277366863905325
"79","oct8","California","Butte","Chico","California State University, Chico",195,"ButteCalifornia",0.0133448304180011,"Fully online","17578","Public, 4-year",0.0110934122198202
"82","oct8","California","Orange","Fullerton","California State University, Fullerton",4,"OrangeCalifornia",0.0178392614900941,"Fully online","40280","Public, 4-year",9.9304865938431e-05
"83","oct8","California","Los Angeles","Long Beach","California State University, Long Beach",30,"Los AngelesCalifornia",0.0276364222435322,"Primarily online","37466","Public, 4-year",0.000800725991565686
"84","oct8","California","Los Angeles","Los Angeles","California State University, Los Angeles",83,"Los AngelesCalifornia",0.0276364222435322,"Fully online","28036","Public, 4-year",0.00296047938364959
"86","oct8","California","Los Angeles","Los Angeles","California State University, Northridge",31,"Los AngelesCalifornia",0.0276364222435322,"Primarily online","40212","Public, 4-year",0.000770914154978613
"87","oct8","California","Sacramento","Sacramento","California State University, Sacramento",32,"SacramentoCalifornia",0.015088997962705,"Primarily online","31902","Public, 4-year",0.00100307190771738
"88","oct8","California","San Bernardino","San Bernardino","California State University, San Bernardino",4,"San BernardinoCalifornia",0.0260645800507778,"Primarily online","20238","Public, 4-year",0.000197647988931713
"89","oct8","California","San Diego","San Marcos","California State University, San Marcos",20,"San DiegoCalifornia",0.0147492908130712,"Primarily online","15972","Public, 4-year",0.00125219133483596
"91","oct8","California","Orange","Orange","Chapman University",9,"OrangeCalifornia",0.0178392614900941,"Primarily online","9608","Private nonprofit, 4-year",0.000936719400499584
"94","oct8","California","Orange","Cypress","Cypress College",8,"OrangeCalifornia",0.0178392614900941,"Fully online","15794","Public, 4-year",0.000506521463847031
"95","oct8","California","Marin","San Rafael","Dominican University of California",3,"MarinCalifornia",0.0263922480739957,"Primarily online","1779","Private nonprofit, 4-year",0.00168634064080944
"96","oct8","California","Plumas","Quincy","Feather River College",0,"PlumasCalifornia",0.00260541287818366,"Primarily online","2216","Public, 4-year",0
"97","oct8","California","Santa Clara","Los Altos","Foothill College",0,"Santa ClaraCalifornia",0.0114407122538452,"Primarily online","14732","Public, 4-year",0
"100","oct8","California","Los Angeles","Claremont","Harvey Mudd College",5,"Los AngelesCalifornia",0.0276364222435322,"Fully online","902","Private nonprofit, 4-year",0.00554323725055432
"101","oct8","California","Alameda","Oakland","Holy Names University",1,"AlamedaCalifornia",0.0130830016112926,"Fully online","960","Private nonprofit, 4-year",0.00104166666666667
"102","oct8","California","Humboldt","Arcata","Humboldt State University",11,"HumboldtCalifornia",0.00388763481314271,"Primarily online","7972","Public, 4-year",0.00137982940291019
"104","oct8","California","Los Angeles","Los Angeles","Loyola Marymount University",1,"Los AngelesCalifornia",0.0276364222435322,"Primarily online","9838","Private nonprofit, 4-year",0.00010164667615369
"105","oct8","California","San Mateo","Atherton","Menlo College",3,"San MateoCalifornia",0.0134977360277495,"Fully online","775","Private nonprofit, 4-year",0.00387096774193548
"106","oct8","California","Alameda","Oakland","Mills College",3,"AlamedaCalifornia",0.0130830016112926,"Primarily online","1257","Private nonprofit, 4-year",0.00238663484486874
"110","oct8","California","San Mateo","Belmont","Notre Dame de Namur University",0,"San MateoCalifornia",0.0134977360277495,"Fully online","1492","Private nonprofit, 4-year",0
"111","oct8","California","Los Angeles","Los Angeles","Occidental College",5,"Los AngelesCalifornia",0.0276364222435322,"Fully online","1930","Private nonprofit, 4-year",0.00259067357512953
"112","oct8","California","Los Angeles","Malibu","Pepperdine University",21,"Los AngelesCalifornia",0.0276364222435322,"Fully online","7961","Private nonprofit, 4-year",0.00263785956538123
