"","date","state","county","city","college","cases","mergeCS","countyCovidProp","plan","enrollment2018","type","adjCases","diff","sign"
"3487","dec11","Alabama","Montgomery","Montgomery","Alabama State University",2,"MontgomeryAlabama",0.0593634926662134,"Hybrid","4413","Public, 4-year",0.000453206435531385,-0.058910286230682,"good"
"3489","dec11","Alabama","Lee","Auburn","Auburn University",2134,"LeeAlabama",0.0516524656318751,"Hybrid","30440","Public, 4-year",0.0701051248357424,0.0184526592038673,"bad"
"3490","dec11","Alabama","Montgomery","Montgomery","Auburn University, Montgomery",140,"MontgomeryAlabama",0.0593634926662134,"Hybrid","5211","Public, 4-year",0.0268662444828248,-0.0324972481833886,"good"
"3491","dec11","Alabama","Walker","Jasper","Bevill State Community College",4,"WalkerAlabama",0.0675839486154185,"Primarily online","3745","Public, 2-year",0.00106809078771696,-0.0665158578277015,"good"
"3492","dec11","Alabama","Jefferson","Birmingham","Birmingham-Southern College",214,"JeffersonAlabama",0.0589061501154769,"Primarily in person","1268","Private nonprofit, 4-year",0.168769716088328,0.109863565972851,"bad"
"3493","dec11","Alabama","Limestone","Tanner","Calhoun Community College",84,"LimestoneAlabama",0.0512359096193702,"Primarily online","9736","Public, 2-year",0.00862777321281841,-0.0426081364065518,"good"
"3494","dec11","Alabama","Tallapoosa","Alexander City","Central Alabama Community College",39,"TallapoosaAlabama",0.0499913295513662,"Primarily online","1681","Public, 2-year",0.0232004759071981,-0.0267908536441681,"good"
"3495","dec11","Alabama","Coffee","Enterprise","Enterprise State Community College",41,"CoffeeAlabama",0.0538955332237973,"Primarily online","1705","Public, 2-year",0.0240469208211144,-0.0298486124026829,"good"
"3496","dec11","Alabama","Etowah","Gadsden","Gadsden State Community College",62,"EtowahAlabama",0.0752239214612587,"Hybrid","4736","Public, 2-year",0.0130912162162162,-0.0621327052450425,"good"
"3498","dec11","Alabama","Calhoun","Jacksonville","Jacksonville State University",219,"CalhounAlabama",0.0663175036310022,"Primarily online","8479","Public, 4-year",0.0258285175138578,-0.0404889861171444,"good"
