"","date","state","county","city","college","cases","mergeCS","countyCovidProp","plan","enrollment2018","type","adjCases","diff","sign"
"1716","nov5","Alabama","Lee","Auburn","Auburn University",2047,"LeeAlabama",0.0413997641939444,"Hybrid","30440","Public, 4-year",0.0672470433639947,0.0258472791700503,"bad"
"1717","nov5","Alabama","Montgomery","Montgomery","Auburn University, Montgomery",80,"MontgomeryAlabama",0.0482899605273615,"Hybrid","5211","Public, 4-year",0.0153521397044713,-0.0329378208228902,"good"
"1718","nov5","Alabama","Walker","Jasper","Bevill State Community College",4,"WalkerAlabama",0.0485351301144503,"Primarily online","3745","Public, 2-year",0.00106809078771696,-0.0474670393267333,"good"
"1719","nov5","Alabama","Jefferson","Birmingham","Birmingham-Southern College",196,"JeffersonAlabama",0.038202294961986,"Primarily in person","1268","Private nonprofit, 4-year",0.154574132492114,0.116371837530128,"bad"
"1720","nov5","Alabama","Limestone","Tanner","Calhoun Community College",36,"LimestoneAlabama",0.0326644088358692,"Primarily online","9736","Public, 2-year",0.00369761709120789,-0.0289667917446613,"good"
"1721","nov5","Alabama","Tallapoosa","Alexander City","Central Alabama Community College",24,"TallapoosaAlabama",0.0357470210815765,"Primarily online","1681","Public, 2-year",0.0142772159428911,-0.0214698051386854,"good"
"1722","nov5","Alabama","Coffee","Enterprise","Enterprise State Community College",32,"CoffeeAlabama",0.0366818233923045,"Primarily online","1705","Public, 2-year",0.0187683284457478,-0.0179134949465567,"good"
"1723","nov5","Alabama","Etowah","Gadsden","Gadsden State Community College",45,"EtowahAlabama",0.046397700160363,"Hybrid","4736","Public, 2-year",0.00950168918918919,-0.0368960109711738,"good"
"1725","nov5","Alabama","Calhoun","Jacksonville","Jacksonville State University",219,"CalhounAlabama",0.0443554421020202,"Primarily online","8479","Public, 4-year",0.0258285175138578,-0.0185269245881624,"good"
"1726","nov5","Alabama","Covington","Andalusia","Lurleen B. Wallace Community College",16,"CovingtonAlabama",0.0516073308321412,"Primarily online","1784","Public, 2-year",0.00896860986547085,-0.0426387209666704,"good"
"1727","nov5","Alabama","Perry","Marion","Marion Military Institute",5,"PerryAlabama",0.0688109380253278,"Hybrid","394","Public, 2-year",0.0126903553299492,-0.0561205826953786,"good"
"1729","nov5","Alabama","Jefferson","Birmingham","Samford University",379,"JeffersonAlabama",0.038202294961986,"Hybrid","5619","Private nonprofit, 4-year",0.0674497241502047,0.0292474291882187,"bad"
"1730","nov5","Alabama","Marshall","Boaz","Snead State Community College",13,"MarshallAlabama",0.0488457643581954,"Hybrid","2280","Public, 2-year",0.00570175438596491,-0.0431440099722305,"good"
"1731","nov5","Alabama","Randolph","Wadley","Southern Union State Community College",59,"RandolphAlabama",0.0386849749141801,"Hybrid","4531","Public, 2-year",0.013021408077687,-0.0256635668364931,"good"
"1732","nov5","Alabama","Mobile","Mobile","Spring Hill College",113,"MobileAlabama",0.0425715737760461,"Hybrid","1379","Private nonprofit, 4-year",0.0819434372733865,0.0393718634973404,"bad"
"1733","nov5","Alabama","Pike","Troy","Troy University",628,"PikeAlabama",0.0425801775684001,"Hybrid","16981","Public, 4-year",0.0369825098639656,-0.00559766770443449,"good"
"1737","nov5","Alabama","Macon","Tuskeegee","Tuskegee University",69,"MaconAlabama",0.0326544166482178,"Hybrid","3026","Private nonprofit, 4-year",0.0228023793787178,-0.00985203726950002,"good"
"1739","nov5","Alabama","Jefferson","Birmingham","University of Alabama, Birmingham",1779,"JeffersonAlabama",0.038202294961986,"Primarily online","21923","Public, 4-year",0.0811476531496602,0.0429453581876742,"bad"
"1741","nov5","Alabama","Shelby","Montevallo","University of Montevallo",110,"ShelbyAlabama",0.0368255688969325,"Primarily in person","2612","Public, 4-year",0.0421133231240429,0.00528775422711038,"bad"
"1742","nov5","Alabama","Lauderdale","Florence","University of North Alabama",370,"LauderdaleAlabama",0.0305729599154526,"Hybrid","7488","Public, 4-year",0.0494123931623932,0.0188394332469406,"bad"
"1743","nov5","Alabama","Mobile","Mobile","University of South Alabama",378,"MobileAlabama",0.0425715737760461,"Primarily online","14834","Public, 4-year",0.0254820008089524,-0.0170895729670937,"good"
"1750","nov5","Arizona","Maricopa","Tempe","Arizona State University",2518,"MaricopaArizona",0.0363306486313192,"Hybrid","51585","Public, 4-year",0.0488126393331395,0.0124819907018203,"bad"
"1751","nov5","Arizona","Yuma","Yuma","Arizona Western College",41,"YumaArizona",0.0665101245632335,"Primarily online","7434","Public, 2-year",0.00551520043045467,-0.0609949241327788,"good"
"1752","nov5","Arizona","Apache","Tsaile","Dine College",7,"ApacheArizona",0.0565609915561924,"Primarily online","1519","Public, 4-year",0.00460829493087558,-0.0519526966253168,"good"
"1757","nov5","Arizona","Coconino","Flagstaff","Northern Arizona University",268,"CoconinoArizona",0.039072736903733,"Primarily online","31066","Public, 4-year",0.008626794566407,-0.030445942337326,"good"
"1758","nov5","Arizona","Pima","Tucson","University of Arizona",2517,"PimaArizona",0.0281262204245478,"Primarily online","44097","Public, 4-year",0.057078712837608,0.0289524924130602,"bad"
"1759","nov5","Arkansas","Mississippi","Blytheville","Arkansas Northeastern College",28,"MississippiArkansas",0.0617696981624068,"Hybrid","1422","Public, 2-year",0.019690576652602,-0.0420791215098048,"good"
"1761","nov5","Arkansas","Pope","Russellville","Arkansas Tech University",340,"PopeArkansas",0.0456361593207641,"Primarily in person","12101","Public, 4-year",0.028096851499876,-0.0175393078208881,"good"
"1762","nov5","Arkansas","Randolph","Pocahontas","Black River Technical College",56,"RandolphArkansas",0.0399821806437242,"Primarily in person","1582","Public, 2-year",0.0353982300884956,-0.00458395055522862,"good"
"1763","nov5","Arkansas","White","Searcy","Harding University",300,"WhiteArkansas",0.0228308762840781,"Hybrid","5121","Private nonprofit, 4-year",0.0585823081429408,0.0357514318588627,"bad"
"1764","nov5","Arkansas","Clark","Arkadelphia","Henderson State University",116,"ClarkArkansas",0.0252688172043011,"Primarily online","3961","Public, 4-year",0.0292855339560717,0.0040167167517706,"bad"
"1765","nov5","Arkansas","Faulkner","Conway","Hendrix College",17,"FaulknerArkansas",0.0289507725761267,"Fully online","1208","Private nonprofit, 4-year",0.0140728476821192,-0.0148779248940075,"good"
"1766","nov5","Arkansas","Benton","Siloam Springs","John Brown University",36,"BentonArkansas",0.0324567154233882,"Fully in person","2516","Private nonprofit, 4-year",0.014308426073132,-0.0181482893502562,"good"
