"","date","state","county","city","college","cases","mergeCS","countyCovidProp","plan","enrollment2018","type","adjCases","diff","sign"
"4","oct8","Alabama","Lee","Auburn","Auburn University",1982,"LeeAlabama",0.0377897436520767,"Hybrid","30440","Public, 4-year",0.0651116951379763,0.0273219514858997,"bad"
"5","oct8","Alabama","Montgomery","Montgomery","Auburn University, Montgomery",0,"MontgomeryAlabama",0.0401040240897892,"Hybrid","5211","Public, 4-year",0,-0.0401040240897892,"good"
"6","oct8","Alabama","Walker","Jasper","Bevill State Community College",4,"WalkerAlabama",0.0389162639127218,"Primarily online","3745","Public, 2-year",0.00106809078771696,-0.0378481731250048,"good"
"7","oct8","Alabama","Jefferson","Birmingham","Birmingham-Southern College",125,"JeffersonAlabama",0.0317929827065489,"Primarily in person","1268","Private nonprofit, 4-year",0.0985804416403785,0.0667874589338296,"bad"
"8","oct8","Alabama","Limestone","Tanner","Calhoun Community College",28,"LimestoneAlabama",0.0239397462467775,"Primarily online","9736","Public, 2-year",0.0028759244042728,-0.0210638218425047,"good"
"9","oct8","Alabama","Tallapoosa","Alexander City","Central Alabama Community College",24,"TallapoosaAlabama",0.0299502068521317,"Primarily online","1681","Public, 2-year",0.0142772159428911,-0.0156729909092406,"good"
"10","oct8","Alabama","Coffee","Enterprise","Enterprise State Community College",27,"CoffeeAlabama",0.0283902028963356,"Primarily online","1705","Public, 2-year",0.0158357771260997,-0.0125544257702359,"good"
"11","oct8","Alabama","Etowah","Gadsden","Gadsden State Community College",32,"EtowahAlabama",0.0364336840458403,"Hybrid","4736","Public, 2-year",0.00675675675675676,-0.0296769272890835,"good"
"13","oct8","Alabama","Calhoun","Jacksonville","Jacksonville State University",219,"CalhounAlabama",0.0329474935082083,"Primarily online","8479","Public, 4-year",0.0258285175138578,-0.00711897599435054,"good"
"14","oct8","Alabama","Covington","Andalusia","Lurleen B. Wallace Community College",9,"CovingtonAlabama",0.0403519663148803,"Primarily online","1784","Public, 2-year",0.00504484304932735,-0.0353071232655529,"good"
"15","oct8","Alabama","Perry","Marion","Marion Military Institute",3,"PerryAlabama",0.0611901826739886,"Hybrid","394","Public, 2-year",0.00761421319796954,-0.0535759694760191,"good"
"17","oct8","Alabama","Jefferson","Birmingham","Samford University",327,"JeffersonAlabama",0.0317929827065489,"Hybrid","5619","Private nonprofit, 4-year",0.0581954084356647,0.0264024257291158,"bad"
"18","oct8","Alabama","Marshall","Boaz","Snead State Community College",11,"MarshallAlabama",0.041994750656168,"Hybrid","2280","Public, 2-year",0.00482456140350877,-0.0371701892526592,"good"
"19","oct8","Alabama","Randolph","Wadley","Southern Union State Community College",59,"RandolphAlabama",0.0315113106240648,"Hybrid","4531","Public, 2-year",0.013021408077687,-0.0184899025463778,"good"
"20","oct8","Alabama","Mobile","Mobile","Spring Hill College",104,"MobileAlabama",0.0334236828731154,"Hybrid","1379","Private nonprofit, 4-year",0.075416968817984,0.0419932859448686,"bad"
"21","oct8","Alabama","Pike","Troy","Troy University",160,"PikeAlabama",0.0376275895391677,"Hybrid","16981","Public, 4-year",0.00942229550674283,-0.0282052940324249,"good"
"25","oct8","Alabama","Macon","Tuskeegee","Tuskegee University",62,"MaconAlabama",0.0277285809165375,"Hybrid","3026","Private nonprofit, 4-year",0.0204890945142102,-0.00723948640232732,"good"
"27","oct8","Alabama","Jefferson","Birmingham","University of Alabama, Birmingham",1353,"JeffersonAlabama",0.0317929827065489,"Primarily online","21923","Public, 4-year",0.0617160060210738,0.0299230233145249,"bad"
"29","oct8","Alabama","Shelby","Montevallo","University of Montevallo",87,"ShelbyAlabama",0.0297884263810163,"Primarily in person","2612","Public, 4-year",0.0333078101071975,0.00351938372618125,"bad"
"30","oct8","Alabama","Lauderdale","Florence","University of North Alabama",259,"LauderdaleAlabama",0.0200800181173096,"Hybrid","7488","Public, 4-year",0.0345886752136752,0.0145086570963656,"bad"
"31","oct8","Alabama","Mobile","Mobile","University of South Alabama",276,"MobileAlabama",0.0334236828731154,"Primarily online","14834","Public, 4-year",0.0186059053525684,-0.014817777520547,"good"
"38","oct8","Arizona","Maricopa","Tempe","Arizona State University",1821,"MaricopaArizona",0.0321803071020869,"Hybrid","51585","Public, 4-year",0.0353009595812736,0.00312065247918673,"bad"
"39","oct8","Arizona","Yuma","Yuma","Arizona Western College",5,"YumaArizona",0.0602609139002839,"Primarily online","7434","Public, 2-year",0.00067258541834813,-0.0595883284819358,"good"
"44","oct8","Arizona","Coconino","Flagstaff","Northern Arizona University",188,"CoconinoArizona",0.0302698709191781,"Primarily online","31066","Public, 4-year",0.00605163200927059,-0.0242182389099075,"good"
"45","oct8","Arizona","Pima","Tucson","University of Arizona",2381,"PimaArizona",0.0249140868861115,"Primarily online","44097","Public, 4-year",0.0539946028074472,0.0290805159213357,"bad"
"47","oct8","Arkansas","Pope","Russellville","Arkansas Tech University",199,"PopeArkansas",0.0356786115619928,"Primarily in person","12101","Public, 4-year",0.0164449219072804,-0.0192336896547124,"good"
"48","oct8","Arkansas","White","Searcy","Harding University",127,"WhiteArkansas",0.0128630020443666,"Hybrid","5121","Private nonprofit, 4-year",0.0247998437805116,0.011936841736145,"bad"
"49","oct8","Arkansas","Clark","Arkadelphia","Henderson State University",88,"ClarkArkansas",0.0179659498207885,"Primarily online","3961","Public, 4-year",0.0222166119666751,0.00425066214588658,"bad"
"50","oct8","Arkansas","Faulkner","Conway","Hendrix College",9,"FaulknerArkansas",0.0221813073876848,"Fully online","1208","Private nonprofit, 4-year",0.00745033112582781,-0.014730976261857,"good"
"51","oct8","Arkansas","Benton","Siloam Springs","John Brown University",30,"BentonArkansas",0.0250375258381965,"Fully in person","2516","Private nonprofit, 4-year",0.0119236883942766,-0.0131138374439199,"good"
"52","oct8","Arkansas","Independence","Batesville","Lyon College",12,"IndependenceArkansas",0.0328089887640449,"Fully online","655","Private nonprofit, 4-year",0.0183206106870229,-0.014488378077022,"good"
"53","oct8","Arkansas","Garland","Hot Springs","National Park College",21,"GarlandArkansas",0.0206769565129898,"Fully online","2017","Public, 2-year",0.0104115022310362,-0.0102654542819536,"good"
"54","oct8","Arkansas","Benton","Bentonville","NorthWest Arkansas Community College",4,"BentonArkansas",0.0250375258381965,"Primarily online","7979","Public, 2-year",0.000501315954380248,-0.0245362098838163,"good"
"55","oct8","Arkansas","Clark","Arkadelphia","Ouachita Baptist University",116,"ClarkArkansas",0.0179659498207885,"Primarily online","1660","Private nonprofit, 4-year",0.0698795180722892,0.0519135682515007,"bad"
