University,County Name,County COVID-19,University COVID-19,Reopening Plan
Harvard,Middlesex, 0.01780000 , 0.00230000 ,Fully online
Columbia,New York, 0.02100000 , 0.00050000 ,Fully online
Princeton,Mercer, 0.02390000 , 0.00600000 ,Fully online
UPenn,Philadelphia, 0.02430000 , 0.01450000 ,Fully online
Brown,Providence, 0.03070000 , 0.00230000 ,Primarily online
Yale,New Haven, 0.01730000 , 0.01300000 ,Primarily online
Stanford,Santa Clara, 0.01150000 , 0.00790000 ,Primarily online
Dartmouth,Grafton, 0.00170000 , 0.00180000 ,Primarily online
Cornell,Tompkins, 0.00460000 , 0.00650000 ,Hybrid
,,,,
,,,,
,,,,
,,,,
,, ,,
