Autauga CountyAlabama,55869
Baldwin CountyAlabama,223234
Barbour CountyAlabama,24686
Bibb CountyAlabama,22394
Blount CountyAlabama,57826
Bullock CountyAlabama,10101
Butler CountyAlabama,19448
Calhoun CountyAlabama,113605
Chambers CountyAlabama,33254
Cherokee CountyAlabama,26196
Chilton CountyAlabama,44428
Choctaw CountyAlabama,12589
Clarke CountyAlabama,23622
Clay CountyAlabama,13235
Cleburne CountyAlabama,14910
Coffee CountyAlabama,52342
Colbert CountyAlabama,55241
Conecuh CountyAlabama,12067
Coosa CountyAlabama,10663
Covington CountyAlabama,37049
Crenshaw CountyAlabama,13772
Cullman CountyAlabama,83768
Dale CountyAlabama,49172
Dallas CountyAlabama,37196
DeKalb CountyAlabama,71513
Elmore CountyAlabama,81209
Escambia CountyAlabama,36633
Etowah CountyAlabama,102268
Fayette CountyAlabama,16302
Franklin CountyAlabama,31362
Geneva CountyAlabama,26271
Greene CountyAlabama,8111
Hale CountyAlabama,14651
Henry CountyAlabama,17205
Houston CountyAlabama,105882
Jackson CountyAlabama,51626
Jefferson CountyAlabama,658573
Lamar CountyAlabama,13805
Lauderdale CountyAlabama,92729
Lawrence CountyAlabama,32924
Lee CountyAlabama,164542
Limestone CountyAlabama,98915
Lowndes CountyAlabama,9726
Macon CountyAlabama,18068
Madison CountyAlabama,372909
Marengo CountyAlabama,18863
Marion CountyAlabama,29709
Marshall CountyAlabama,96774
Mobile CountyAlabama,413210
Monroe CountyAlabama,20733
Montgomery CountyAlabama,226486
Morgan CountyAlabama,119679
Perry CountyAlabama,8923
Pickens CountyAlabama,19930
Pike CountyAlabama,33114
Randolph CountyAlabama,22722
Russell CountyAlabama,57961
St. Clair CountyAlabama,89512
Shelby CountyAlabama,217702
Sumter CountyAlabama,12427
Talladega CountyAlabama,79978
Tallapoosa CountyAlabama,40367
Tuscaloosa CountyAlabama,209355
Walker CountyAlabama,63521
Washington CountyAlabama,16326
Wilcox CountyAlabama,10373
Winston CountyAlabama,23629
Aleutians East BoroughAlaska,3337
Aleutians West Census AreaAlaska,5634
Anchorage MunicipalityAlaska,288000
Bethel Census AreaAlaska,18386
Bristol Bay BoroughAlaska,836
Denali BoroughAlaska,2097
Dillingham Census AreaAlaska,4916
Fairbanks North Star BoroughAlaska,96849
Haines BoroughAlaska,2530
Hoonah-Angoon Census AreaAlaska,2148
Juneau City and BoroughAlaska,31974
Kenai Peninsula BoroughAlaska,58708
Ketchikan Gateway BoroughAlaska,13901
Kodiak Island BoroughAlaska,12998
Kusilvak Census AreaAlaska,8314
Lake and Peninsula BoroughAlaska,1592
Matanuska-Susitna BoroughAlaska,108317
Nome Census AreaAlaska,10004
North Slope BoroughAlaska,9832
Northwest Arctic BoroughAlaska,7621
Petersburg BoroughAlaska,3266
Prince of Wales-Hyder Census AreaAlaska,6203
Sitka City and BoroughAlaska,8493
Skagway MunicipalityAlaska,1183
Southeast Fairbanks Census AreaAlaska,6893
Valdez-Cordova Census AreaAlaska,9202
Wrangell City and BoroughAlaska,2502
Yakutat City and BoroughAlaska,579
Yukon-Koyukuk Census AreaAlaska,5230
Apache CountyArizona,71887
Cochise CountyArizona,125922
Coconino CountyArizona,143476
Gila CountyArizona,54018
Graham CountyArizona,38837
Greenlee CountyArizona,9498
La Paz CountyArizona,21108
Maricopa CountyArizona,4485414
Mohave CountyArizona,212181
Navajo CountyArizona,110924
Pima CountyArizona,1047279
Pinal CountyArizona,462789
Santa Cruz CountyArizona,46498
Yavapai CountyArizona,235099
Yuma CountyArizona,213787
Arkansas CountyArkansas,17486
Ashley CountyArkansas,19657
Baxter CountyArkansas,41932
Benton CountyArkansas,279141
Boone CountyArkansas,37432
Bradley CountyArkansas,10763
Calhoun CountyArkansas,5189
Carroll CountyArkansas,28380
Chicot CountyArkansas,10118
Clark CountyArkansas,22320
Clay CountyArkansas,14551
Cleburne CountyArkansas,24919
Cleveland CountyArkansas,7956
Columbia CountyArkansas,23457
Conway CountyArkansas,20846
Craighead CountyArkansas,110332
Crawford CountyArkansas,63257
Crittenden CountyArkansas,47955
Cross CountyArkansas,16419
Dallas CountyArkansas,7009
Desha CountyArkansas,11361
Drew CountyArkansas,18219
Faulkner CountyArkansas,126007
Franklin CountyArkansas,17715
Fulton CountyArkansas,12477
Garland CountyArkansas,99386
Grant CountyArkansas,18265
Greene CountyArkansas,45325
Hempstead CountyArkansas,21532
Hot Spring CountyArkansas,33771
Howard CountyArkansas,13202
Independence CountyArkansas,37825
Izard CountyArkansas,13629
Jackson CountyArkansas,16719
Jefferson CountyArkansas,66824
Johnson CountyArkansas,26578
Lafayette CountyArkansas,6624
Lawrence CountyArkansas,16406
Lee CountyArkansas,8857
Lincoln CountyArkansas,13024
Little River CountyArkansas,12259
Logan CountyArkansas,21466
Lonoke CountyArkansas,73309
Madison CountyArkansas,16576
Marion CountyArkansas,16694
Miller CountyArkansas,43257
Mississippi CountyArkansas,40651
Monroe CountyArkansas,6701
Montgomery CountyArkansas,8986
Nevada CountyArkansas,8252
Newton CountyArkansas,7753
Ouachita CountyArkansas,23382
Perry CountyArkansas,10455
Phillips CountyArkansas,17782
Pike CountyArkansas,10718
Poinsett CountyArkansas,23528
Polk CountyArkansas,19964
Pope CountyArkansas,64072
Prairie CountyArkansas,8062
Pulaski CountyArkansas,391911
Randolph CountyArkansas,17958
St. Francis CountyArkansas,24994
Saline CountyArkansas,122437
Scott CountyArkansas,10281
Searcy CountyArkansas,7881
Sebastian CountyArkansas,127827
Sevier CountyArkansas,17007
Sharp CountyArkansas,17442
Stone CountyArkansas,12506
Union CountyArkansas,38682
Van Buren CountyArkansas,16545
Washington CountyArkansas,239187
White CountyArkansas,78753
Woodruff CountyArkansas,6320
Yell CountyArkansas,21341
Alameda CountyCalifornia,1671329
Alpine CountyCalifornia,1129
Amador CountyCalifornia,39752
Butte CountyCalifornia,219186
Calaveras CountyCalifornia,45905
Colusa CountyCalifornia,21547
Contra Costa CountyCalifornia,1153526
Del Norte CountyCalifornia,27812
El Dorado CountyCalifornia,192843
Fresno CountyCalifornia,999101
Glenn CountyCalifornia,28393
Humboldt CountyCalifornia,135558
Imperial CountyCalifornia,181215
Inyo CountyCalifornia,18039
Kern CountyCalifornia,900202
Kings CountyCalifornia,152940
Lake CountyCalifornia,64386
Lassen CountyCalifornia,30573
Los Angeles CountyCalifornia,10039107
Madera CountyCalifornia,157327
Marin CountyCalifornia,258826
Mariposa CountyCalifornia,17203
